,run_date,case_number,merchant_customer_id,account_name,astro_mkp,type_of_request,status,create_date,listing_complete_date,owner,integration_start_date,status_notes,handoff_date,merchant_rank,case_rank,encrypt_id,Key,SPOC
102,2022-12-30,1336552,311514760512.0,FERRY JEANS,UK,Technical Onboarding Request - New Seller,Completed,2022-07-11,2022-12-13,LAKSHMI PRATYUSHA VELAMAKANNI,2022-07-20,DSR,2022-07-20,1,1,AN5IVCFJLYMA,AN5IVCFJLYMALAKSHMI PRATYUSHA VELAMAKANNI,
103,2022-12-30,1304758,1063626112.0,HOME TREATS,UK,Technical Onboarding Request - New Seller,Completed,2022-03-23,2022-06-14,DILIP CHAVALI,2022-03-28,SP_API_INTEGRATION,2022-03-28,1,1,AXVAPZMMBZ63B,AXVAPZMMBZ63BDILIP CHAVALI,DILIP CHAVALI
104,2022-12-30,1338093,984152812.0,Compte Test Neteven,FR,Technical Onboarding Request - New Seller,Completed,2022-07-18,2022-12-01,DILIP CHAVALI,2022-07-18,"3PD_INTEGRATOR, CID: A2B3ONL0KC4PLW",2022-07-15,1,1,AQJVXQOLHW4PH,AQJVXQOLHW4PHDILIP CHAVALI,DILIP CHAVALI
105,2022-12-30,1128433,9330230235.0,ChannelEngine,DE,Technical Onboarding Request - New Seller,Completed,2021-11-17,2022-12-01,NIVEDITHA PARVATHA,2021-11-01,3PD case,2021-11-01,1,1,A2Z2ULB6OD14GC,A2Z2ULB6OD14GCNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
107,2022-12-30,1100782,27509975022.0,Pet Lovers Centre,SG,Technical Onboarding Request - New Seller,Completed,2021-06-22,2022-03-07,DILIP CHAVALI,2021-07-01,DSR  SP_API_INTEGRATION,2021-06-30,2,1,A3H12QH1LWBW3W,A3H12QH1LWBW3WDILIP CHAVALI,DILIP CHAVALI
108,2022-12-30,1350530,20884232112.0,Eurasia Inter SL,UK,Technical Onboarding Request - New Seller,Completed,2022-08-30,2022-11-28,HARISH GANESAN,2022-09-07,DSR,2022-08-31,1,1,A3GAMOF582JQBV,A3GAMOF582JQBVHARISH GANESAN,
111,2022-12-30,1338772,396072952.0,Mauve Mailorder,DE,Technical Onboarding Request - New Seller,Completed,2022-07-20,2022-10-18,DILIP CHAVALI,2022-07-20,3PD_INTEGRATOR,2022-07-18,1,1,A1ZX7YN7F2XSM6,A1ZX7YN7F2XSM6DILIP CHAVALI,DILIP CHAVALI
112,2022-12-30,1342930,9136695425.0,ExpandlyUK,UK,Technical Onboarding Request - Reintegration,Completed,2022-08-03,2022-08-29,PRAKASH JHA,2022-01-07,3PD_Integrator,2022-04-01,1,1,A143JAV8WHUBX,A143JAV8WHUBXPRAKASH JHA,PRAKASH JHA
113,2022-12-30,1321176,443847272302.0,KNIPEX Tools,AE,Technical Onboarding Request - New Seller,Completed,2022-05-18,2022-08-04,KEZIA IDIKKULA MUTHALALY,2022-05-27,DSR,2022-05-19,1,1,A2Q54YPEF6MTOW,A2Q54YPEF6MTOWKEZIA IDIKKULA MUTHALALY,
114,2022-12-30,1110650,1102299702.0,FurnitureOnline,UK,Technical Onboarding Request - New Seller,Completed,2021-08-17,2022-08-08,FARAH BHAGAT,2021-08-18,SMART_CONNECT_EU,2021-08-17,1,1,A1TYU369W0JU6U,A1TYU369W0JU6UFARAH BHAGAT,
116,2022-12-30,1335195,22900860812.0,LatestBuy AU,UK,Technical Onboarding Request - New Seller,Completed,2022-07-06,2022-11-28,PREMALATHA MADDIRALA,2022-07-01,DSR,2022-06-20,1,1,A1MXVDXE3UMBJR,A1MXVDXE3UMBJRPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
117,2022-12-30,1117317,23030061112.0,Vescati Limited,UK,Technical Onboarding Request - New Seller,Completed,2021-09-22,2022-07-29,NIVEDITHA PARVATHA,2021-09-16,3PD integrator,2021-09-16,1,1,A1TD5N0LORVADX,A1TD5N0LORVADXNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
118,2022-12-30,1309457,28066137512.0,Mary&Paul,DE,Technical Onboarding Request - New Seller,Completed,2022-04-08,2022-04-19,NIVEDITHA PARVATHA,2021-11-10,Paid,2021-11-10,1,1,A10JP0TTNGV4JH,A10JP0TTNGV4JHNIVEDITHA PARVATHA,
119,2022-12-30,1118009,58022167.0,"Body, Mind & Soul",UK,Technical Onboarding Request - Reintegration,Completed,2021-09-27,2022-03-15,YASHWANT KOMATI,2021-10-26,DSR,2021-10-04,1,1,A3FKGX6PQQUP7Q,A3FKGX6PQQUP7QYASHWANT KOMATI,
120,2022-12-30,1342113,74204928512.0,Volo  Commerce,UK,Technical Onboarding Request - Reintegration,Completed,2022-08-01,2022-07-29,INDRA TATIKONDA,2022-01-06,3PD_Integrator,2022-01-06,1,1,AZCR3E1XCGIP2,AZCR3E1XCGIP2INDRA TATIKONDA,
121,2022-12-30,1351110,307112578112.0,EndorTech EU,ES,Technical Onboarding Request - New Seller,Completed,2022-09-01,2022-08-29,DILIP CHAVALI,2022-08-16,DSR SP_API_INTEGRATION_parity,2022-08-16,1,1,ALXOYAE04NH2I,ALXOYAE04NH2IDILIP CHAVALI,
122,2022-12-30,1132675,59084308212.0,iHaveit Music,UK,Technical Onboarding Request - New Seller,Completed,2021-12-06,2022-05-06,DILIP CHAVALI,2021-12-21,"DSR - SP_API_INTEGRATION, VCS, APPSTORE_PUSH",2021-12-15,1,1,APOS95OD034HF,APOS95OD034HFDILIP CHAVALI,DILIP CHAVALI
124,2022-12-30,1272310,17722146112.0,Grade Mobile,UK,Technical Onboarding Request - New Seller,Completed,2022-02-11,2022-07-01,YASHWANT KOMATI,2022-04-04,DSR,2022-02-14,1,1,A3PQ6QVFXFGQ01,A3PQ6QVFXFGQ01YASHWANT KOMATI,YASHWANT KOMATI
125,2022-12-30,1370873,266713090012.0,Shoes for Crews,DE,Technical Onboarding Request - New Seller,Completed,2022-10-31,2022-12-16,RAJARSHI CHATTERJEE,2022-11-02,DSR,2022-11-01,1,1,A389QMNY6O5YO3,A389QMNY6O5YO3RAJARSHI CHATTERJEE,RAJARSHI CHATTERJEE
128,2022-12-30,1117945,243929000612.0,RedicomDeveloper,ES,Technical Onboarding Request - New Seller,Completed,2021-09-27,2022-04-12,PRAKASH JHA,2021-09-28,DSR_Integrator_CID_A1TXZVE8ARI3VE,2021-09-27,1,1,A2OMZZIEIV1E43,A2OMZZIEIV1E43PRAKASH JHA,PRAKASH JHA
129,2022-12-30,1339478,243772798012.0,Priceloop,DE,Technical Onboarding Request - New Seller,Completed,2022-07-22,2022-08-31,FARAH BHAGAT,2022-07-25,DSR_INTEGRATOR_NL,2022-07-25,1,1,A3OX9YD5AG26DE,A3OX9YD5AG26DEFARAH BHAGAT,FARAH BHAGAT
130,2022-12-30,1386930,6853180515.0,Intelligent Reach MWS Test,US,Technical Onboarding Request - New Seller,Completed,2022-12-22,2022-12-10,YASHWANT KOMATI,2022-09-01,DSR_INTEGRATOR_AES,2022-09-01,1,1,A19ZT8VXWXDU3B,A19ZT8VXWXDU3BYASHWANT KOMATI,
131,2022-12-30,1129624,70655247112.0,Wilko,UK,Technical Onboarding Request - New Seller,Completed,2021-11-22,2022-03-31,YASHWANT KOMATI,2021-12-07,DSR,2021-11-24,1,1,A2I72QKJSAQX9K,A2I72QKJSAQX9KYASHWANT KOMATI,
132,2022-12-30,1120060,20295776312.0,Meditua it,IT,Technical Onboarding Request - Reintegration,Completed,2021-10-06,2022-05-11,PREMALATHA MADDIRALA,2021-10-27,ESM_LEADS,2021-10-07,1,1,A31IONLEBUINGI,A31IONLEBUINGIPREMALATHA MADDIRALA,
135,2022-12-30,1371919,844656012.0,Novello,UK,Technical Onboarding Request - New Seller,Completed,2022-11-03,2022-12-05,RAJARSHI CHATTERJEE,2022-11-07,DSR,2022-11-04,1,1,A3APCY1X7806YV,A3APCY1X7806YVRAJARSHI CHATTERJEE,RAJARSHI CHATTERJEE
136,2022-12-30,1341052,15771052505.0,"Skubana, LLC",CA,Technical Onboarding Request - New Seller,Completed,2022-07-28,2022-09-19,FARAH BHAGAT,2022-07-28,3PD_INTEGRATOR--Developer CID : 11332090115,2022-07-28,1,1,APQM758CJAG4D,APQM758CJAG4DFARAH BHAGAT,
137,2022-12-30,1332010,103909577912.0,Kärcher EU,DE,Technical Onboarding Request - New Seller,Completed,2022-06-24,2022-10-11,KEZIA IDIKKULA MUTHALALY,2022-07-01,3PD,2022-06-28,1,1,A28W8HYHMDKEI4,A28W8HYHMDKEI4KEZIA IDIKKULA MUTHALALY,
138,2022-12-30,1141194,246082158912.0,BUY SUPPLY ME,AE,Technical Onboarding Request - New Seller,Completed,2022-01-18,2022-08-03,YASHWANT KOMATI,2022-06-09,DSR,2022-06-08,1,1,A3T1IFU519P17G,A3T1IFU519P17GYASHWANT KOMATI,
139,2022-12-30,1313933,1202309402.0,Platinum Home and Garden,UK,Technical Onboarding Request - New Seller,Completed,2022-04-25,2022-08-08,INDRA TATIKONDA,2022-06-17,SMART_CONNECT_EU,2022-05-25,1,1,A13QUNZ6KFYOTG,A13QUNZ6KFYOTGINDRA TATIKONDA,INDRA TATIKONDA
140,2022-12-30,1344959,462393802.0,Aromhuset of Sweden,UK,Technical Onboarding Request - New Seller,Completed,2022-08-10,2022-10-07,PRAKASH JHA,2022-09-07,DSR_SE,2022-08-11,1,1,A1RJXMQDR40EWK,A1RJXMQDR40EWKPRAKASH JHA,
141,2022-12-30,1386898,4090249722.0,Costumes Australia,AU,Technical Onboarding Request - New Seller,Completed,2022-12-22,2022-12-10,YASHWANT KOMATI,2022-09-18,3PD_INTEGRATOR,2022-09-18,1,1,A2VQW1R9M165UW,A2VQW1R9M165UWYASHWANT KOMATI,
142,2022-12-30,1118422,243490047612.0,ALZURA Connect DE,DE,Technical Onboarding Request - New Seller,Completed,2021-09-29,2022-03-31,YASHWANT KOMATI,2021-10-12,DSR_INTEGRATOR,2021-10-04,2,1,A3PGSRPIY7PPUO,A3PGSRPIY7PPUOYASHWANT KOMATI,YASHWANT KOMATI
143,2022-12-30,1275914,23290288512.0,Emil Lux GmbH & Co. KG,DE,Technical Onboarding Request - New Seller,Completed,2022-02-24,2022-06-06,DILIP CHAVALI,2022-03-07,DSR MWS_TO_SP_API_MIGRATION,2022-03-02,1,1,A3U0LDUHU276Z5,A3U0LDUHU276Z5DILIP CHAVALI,DILIP CHAVALI
144,2022-12-30,1350794,6355388822.0,MegaBoutique,AU,Technical Onboarding Request - New Seller,Completed,2022-08-31,2022-12-23,PRAKASH JHA,2022-08-31,SMART_CONNECT_AU,2022-09-08,1,1,A36CU8R6LRQ8N4,A36CU8R6LRQ8N4PRAKASH JHA,PRAKASH JHA
145,2022-12-30,1118414,242570216012.0,Delta Cafés España,ES,Technical Onboarding Request - New Seller,Completed,2021-09-29,2022-06-01,INDRA TATIKONDA,2021-10-07,DSR,2021-10-04,2,1,AC8UET6E0XJRJ,AC8UET6E0XJRJINDRA TATIKONDA,
146,2022-12-30,1350469,320618842812.0,KikkaBoo España S.L.,ES,Technical Onboarding Request - New Seller,Completed,2022-08-30,2022-11-02,RAJARSHI CHATTERJEE,2022-09-07,DSR,2022-08-31,1,1,AZ4HITSIG7549,AZ4HITSIG7549RAJARSHI CHATTERJEE,
147,2022-12-30,1309475,860069872.0,Aosom fr,FR,Technical Onboarding Request - New Seller,Completed,2022-04-08,2022-07-19,NIVEDITHA PARVATHA,2022-02-17,Paid Case,2022-02-17,1,1,A3UO6VUDOSAD6E,A3UO6VUDOSAD6ENIVEDITHA PARVATHA,NIVEDITHA PARVATHA
148,2022-12-30,1315944,288535174612.0,CHANNEL21,DE,Technical Onboarding Request - New Seller,Completed,2022-05-03,2022-08-26,HARISH GANESAN,2022-05-11,DSR,2022-05-06,1,1,AZLJVB9NL4G5U,AZLJVB9NL4G5UHARISH GANESAN,HARISH GANESAN
149,2022-12-30,1312025,743557152.0,MHSTAR,UK,Technical Onboarding Request - New Seller,Completed,2022-04-19,2022-08-08,INDRA TATIKONDA,2022-07-22,SMART_CONNECT_EU,2022-05-02,1,1,AHAENQTW89XP0,AHAENQTW89XP0INDRA TATIKONDA,
150,2022-12-30,1102439,400159073.0,DO NOT BUY - TESTING ACCOUNT,UK,Technical Onboarding Request - New Seller,Completed,2021-06-30,2022-05-10,INDRA TATIKONDA,2021-06-04,3PD Integrator -349112101,2021-06-04,1,1,AGOQYD533TFWC,AGOQYD533TFWCINDRA TATIKONDA,
151,2022-12-30,1276170,153087473612.0,Sharaf DG LLC,AE,Technical Onboarding Request - Reintegration,Completed,2022-02-25,2022-04-13,DILIP CHAVALI,2022-02-03,SP_API_INTEGRATION,2022-02-03,1,1,AVUV49UF44JUE,AVUV49UF44JUEDILIP CHAVALI,
152,2022-12-30,1302574,185775265812.0,Macca Store,ES,Technical Onboarding Request - New Seller,Completed,2022-03-16,2022-10-13,NIVEDITHA PARVATHA,2022-02-16,DSR case,2022-02-16,1,1,A27F7HES0BZXOT,A27F7HES0BZXOTNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
153,2022-12-30,1324431,155123278512.0,Clever Concept,ES,Technical Onboarding Request - New Seller,Completed,2022-05-30,2022-08-08,HARISH GANESAN,2022-06-22,DSR,2022-06-06,1,1,A2OZ2H3O8AC34J,A2OZ2H3O8AC34JHARISH GANESAN,
154,2022-12-30,1342964,32802665212.0,Coolbax,DE,Technical Onboarding Request - New Seller,Completed,2022-08-03,2022-12-01,NIVEDITHA PARVATHA,2022-07-14,3PD_integrator,2022-07-07,1,1,AN8GO6K7CQ7ST,AN8GO6K7CQ7STNIVEDITHA PARVATHA,
155,2022-12-30,1337742,1149865762.0,ASIMsrl,IT,Technical Onboarding Request - New Seller,Completed,2022-07-15,2022-10-14,DILIP CHAVALI,2022-08-09,DSR,2022-08-01,1,1,A3S9K44UGCSNVF,A3S9K44UGCSNVFDILIP CHAVALI,DILIP CHAVALI
156,2022-12-30,1237308,98658279012.0,Fondazione AIRC,IT,Technical Onboarding Request - New Seller,Completed,2022-01-24,2022-05-27,PRAKASH JHA,2022-02-01,DSR,2022-01-27,1,1,A3IDIF88NVPIDJ,A3IDIF88NVPIDJPRAKASH JHA,PRAKASH JHA
157,2022-12-30,1342942,237461822612.0,E-Tailize,NL,Technical Onboarding Request - Reintegration,Completed,2022-08-03,2022-07-20,YASHWANT KOMATI,2022-06-01,3PD_INTEGRATOR,2022-06-01,1,1,A27OH5FTYU6JQY,A27OH5FTYU6JQYYASHWANT KOMATI,YASHWANT KOMATI
159,2022-12-30,1323770,21222343825.0,Multi-channel Integration Platform,ES,Technical Onboarding Request - New Seller,Completed,2022-05-27,2022-09-08,PREMALATHA MADDIRALA,2022-05-27,3PD_INTEGRATOR,2022-05-27,1,1,A3ARABZOCIS594,A3ARABZOCIS594PREMALATHA MADDIRALA,PREMALATHA MADDIRALA
160,2022-12-30,1111776,179497525512.0,Ifesan,ES,Technical Onboarding Request - New Seller,Completed,2021-08-23,2022-05-05,NIVEDITHA PARVATHA,2021-09-06,DSR case,2021-09-03,1,1,A27EYG9R1XEC2J,A27EYG9R1XEC2JNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
161,2022-12-30,1339436,4515957622.0,KGElectronic,AU,Technical Onboarding Request - New Seller,Completed,2022-07-22,2022-05-16,FARAH BHAGAT,2022-04-04,SMART_CONNECT_AU,2022-04-04,1,1,A39FA9TCISP5QP,A39FA9TCISP5QPFARAH BHAGAT,
163,2022-12-30,1339418,40593814212.0,ERGO Direkt AG,UK,Technical Onboarding Request - New Seller,Completed,2022-07-22,2022-07-22,INDRA TATIKONDA,2022-02-22,Insurance_IT_ES,2022-02-22,1,1,A23LFKWJ5HHDUU,A23LFKWJ5HHDUUINDRA TATIKONDA,INDRA TATIKONDA
164,2022-12-30,1305953,13331956022.0,Green Gadgets Australia,AU,Technical Onboarding Request - New Seller,Completed,2022-03-28,2022-06-14,PREMALATHA MADDIRALA,2022-03-21,SMART_CONNECT_AU,2022-03-14,1,1,A1CY6UTERVU883,A1CY6UTERVU883PREMALATHA MADDIRALA,
165,2022-12-30,1364940,359385196812.0,FalloBrico,IT,Technical Onboarding Request - New Seller,Completed,2022-10-18,2022-11-15,HARISH GANESAN,2022-10-20,APPSTORE_PUSH,2022-10-20,1,1,A3MVSN9DOF62CH,A3MVSN9DOF62CHHARISH GANESAN,
166,2022-12-30,1271123,34910335512.0,Baselinker,UK,Technical Onboarding Request - New Seller,Completed,2022-02-07,2022-07-26,PRAKASH JHA,2022-03-31,DSR-INTEGRATOR_PL_CID_A3RHX4V11Z5OBO,2022-02-09,1,1,A2Q82BE0LV1U0E,A2Q82BE0LV1U0EPRAKASH JHA,PRAKASH JHA
167,2022-12-30,1316652,212125295112.0,Olimpia Home,IT,Technical Onboarding Request - New Seller,Completed,2022-05-06,2022-09-02,LAKSHMI PRATYUSHA VELAMAKANNI,2022-05-13,DSR,2022-05-09,1,1,A5FXK1AXYB2LX,A5FXK1AXYB2LXLAKSHMI PRATYUSHA VELAMAKANNI,
169,2022-12-30,1315253,1266163052.0,SmartFoneStore,UK,Technical Onboarding Request - New Seller,Completed,2022-04-29,2022-12-15,NIVEDITHA PARVATHA,2022-07-21,DSR case,2022-05-02,2,1,A1VXXY7OJ6MSKE,A1VXXY7OJ6MSKENIVEDITHA PARVATHA,NIVEDITHA PARVATHA
170,2022-12-30,1331126,75102909822.0,PrismPlus Official Store,SG,Technical Onboarding Request - New Seller,Completed,2022-06-22,2022-11-04,FARAH BHAGAT,2022-08-08,SG-DSR,2022-06-22,1,1,A1SO0Y3HK4GF84,A1SO0Y3HK4GF84FARAH BHAGAT,FARAH BHAGAT
171,2022-12-30,1122694,1198767602.0,Brightpearl,UK,Technical Onboarding Request - New Seller,Completed,2021-10-19,2022-06-17,PREMALATHA MADDIRALA,2021-10-19,3PD_INTEGRATOR - MCID SUPPORTED - APPI8HH21712J,2021-10-19,1,1,A1UA8P9TB8SFLK,A1UA8P9TB8SFLKPREMALATHA MADDIRALA,
172,2022-12-30,1377273,566851241402.0,Rituals Cosmetics B.V.,NL,Technical Onboarding Request - New Seller,Completed,2022-11-18,2022-12-16,RAJARSHI CHATTERJEE,2022-12-06,DSR,2022-11-24,1,1,A3LKRB20E0MSP2,A3LKRB20E0MSP2RAJARSHI CHATTERJEE,
173,2022-12-30,1122955,21121362312.0,teknoraks,TR,Technical Onboarding Request - Reintegration,Completed,2021-10-20,2022-03-29,PREMALATHA MADDIRALA,2021-11-01,DSR,2021-10-27,1,1,AQ2F9CMGC0UJS,AQ2F9CMGC0UJSPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
174,2022-12-30,1275148,181583422112.0,Co-op,UK,Technical Onboarding Request - New Seller,Completed,2022-02-22,2022-05-13,DILIP CHAVALI,2022-03-14,SP_API_INTEGRATION,2022-02-23,1,1,A6IY2NN7781MD,A6IY2NN7781MDDILIP CHAVALI,
175,2022-12-30,1134941,26398415612.0,MeCommerce,UK,Technical Onboarding Request - Reintegration,Completed,2021-12-16,2022-05-13,DILIP CHAVALI,2021-09-21,"3PD_INTEGRATOR, CID: AKKS7KQMBA3LL",2021-09-21,1,1,A1JV50RNL3SEIQ,A1JV50RNL3SEIQDILIP CHAVALI,
176,2022-12-30,1323819,287316390012.0,Parks London,UK,Technical Onboarding Request - New Seller,Completed,2022-05-27,2022-07-27,KEZIA IDIKKULA MUTHALALY,2022-07-01,DSR,2022-05-30,1,1,A12LPR346K4XML,A12LPR346K4XMLKEZIA IDIKKULA MUTHALALY,
177,2022-12-30,1339303,15443700725.0,Outvio OU,UK,Technical Onboarding Request - New Seller,Completed,2022-07-21,2022-11-15,DILIP CHAVALI,2022-07-21,3PD_INTEGRATOR - CID: A2PB9DHVWREFCS,2022-07-21,1,1,A178AZYU978DEW,A178AZYU978DEWDILIP CHAVALI,
178,2022-12-30,1330732,42774420205.0,Dev Shop,US,Technical Onboarding Request - New Seller,Completed,2022-06-20,2022-07-15,INDRA TATIKONDA,2022-06-20,3PD_Integrator,2022-05-01,1,1,A2CE3CB31VGV0Y,A2CE3CB31VGV0YINDRA TATIKONDA,
179,2022-12-30,1253445,11518229305.0,UPS eMA US MWS Test,US,Technical Onboarding Request - New Seller,Completed,2022-01-27,2022-08-23,DILIP CHAVALI,2022-01-21,3PD_INTEGRATOR,2022-01-21,1,1,AUDM91O91RZ6Z,AUDM91O91RZ6ZDILIP CHAVALI,
180,2022-12-30,1330621,11377175025.0,TonersPlus Ltd Price Inc 20% UK VAT,UK,Technical Onboarding Request - New Seller,Completed,2022-06-20,2022-10-31,LIPSA MOHANTY,2022-06-21,DSR,2022-06-21,1,1,A3K5XTICP5MLZJ,A3K5XTICP5MLZJLIPSA MOHANTY,LIPSA MOHANTY
181,2022-12-30,1319117,105377883712.0,ElGanso,ES,Technical Onboarding Request - Reintegration,Completed,2022-05-11,2022-08-08,KEZIA IDIKKULA MUTHALALY,2022-05-19,DSR,2022-05-12,2,1,AY1DPTH4SR537,AY1DPTH4SR537KEZIA IDIKKULA MUTHALALY,KEZIA IDIKKULA MUTHALALY
182,2022-12-30,1356588,7913905322.0,Eiz Pty Ltd,AU,Technical Onboarding Request - New Seller,Completed,2022-09-19,2022-03-31,YASHWANT KOMATI,2022-01-01,3PD_INTEGRATOR,2022-01-01,1,1,A2AAP1ZNM6SPO6,A2AAP1ZNM6SPO6YASHWANT KOMATI,YASHWANT KOMATI
183,2022-12-30,1113268,46761668212.0,Distribuciones UNU España SL,ES,Technical Onboarding Request - Reintegration,Completed,2021-08-31,2022-03-03,PRAKASH JHA,2021-09-06,DSR,2021-09-03,1,1,A33YJAHSGJJ2EL,A33YJAHSGJJ2ELPRAKASH JHA,PRAKASH JHA
184,2022-12-30,1247404,81250502112.0,WINDOW-DECORATIONCOM,UK,Technical Onboarding Request - New Seller,Completed,2022-01-25,2022-07-21,INDRA TATIKONDA,2022-02-25,DSR,2022-01-27,1,1,A1IU3H4OYHAEH2,A1IU3H4OYHAEH2INDRA TATIKONDA,INDRA TATIKONDA
186,2022-12-30,1342892,10496091335.0,Zahnbürsten-kaufen,DE,Technical Onboarding Request - New Seller,Completed,2022-08-03,2022-10-07,LIPSA MOHANTY,2022-08-05,DSR_INTEGRATOR_NL,2022-08-04,1,1,ANP0DEG5ZU0TH,ANP0DEG5ZU0THLIPSA MOHANTY,LIPSA MOHANTY
187,2022-12-30,1273161,66782980622.0,Nitrous Stores,SG,Technical Onboarding Request - New Seller,Completed,2022-02-15,2022-05-20,PRAKASH JHA,2022-02-17,DSR_SG,2022-02-17,1,1,A2744ESYWSP8YT,A2744ESYWSP8YTPRAKASH JHA,
188,2022-12-30,1317493,8136030925.0,INF Company AB,UK,Technical Onboarding Request - New Seller,Completed,2022-05-09,2022-08-10,DILIP CHAVALI,2022-05-18,DSR,2022-05-09,1,1,A12NL0H8GNE1RF,A12NL0H8GNE1RFDILIP CHAVALI,DILIP CHAVALI
189,2022-12-30,1330665,304144935712.0,F.E.T.,IT,Technical Onboarding Request - New Seller,Completed,2022-06-20,2022-09-19,RAJARSHI CHATTERJEE,2022-06-28,DSR,2022-06-21,1,1,A33NHQMUCL1YNW,A33NHQMUCL1YNWRAJARSHI CHATTERJEE,
190,2022-12-30,1319428,21353386325.0,Yorcom,DE,Technical Onboarding Request - New Seller,Completed,2022-05-12,2022-10-18,HARISH GANESAN,2022-05-18,DSR,2022-05-16,1,1,A3TSG2DLZQM7CG,A3TSG2DLZQM7CGHARISH GANESAN,
191,2022-12-30,1347763,93734912912.0,Everdrop,DE,Technical Onboarding Request - New Seller,Completed,2022-08-19,2022-10-10,LIPSA MOHANTY,2022-08-24,DSR,2022-08-24,1,1,A2NHW48FRPTKU3,A2NHW48FRPTKU3LIPSA MOHANTY,
192,2022-12-30,1274731,541204712.0,CosyWood,UK,Technical Onboarding Request - New Seller,Completed,2022-02-21,2022-07-27,FARAH BHAGAT,2022-02-22,DSR,2022-02-22,1,1,A3EFO2RITOT6BV,A3EFO2RITOT6BVFARAH BHAGAT,
193,2022-12-30,1118630,55328141512.0,mercecom,UK,Technical Onboarding Request - New Seller,Completed,2021-09-30,2022-09-14,FARAH BHAGAT,2021-10-06,DSR_INTEGRATOR_PL,2021-09-30,1,1,A3E09UO3ZPU35A,A3E09UO3ZPU35AFARAH BHAGAT,
194,2022-12-30,1124125,235802376112.0,Petness Petshop,ES,Technical Onboarding Request - New Seller,Completed,2021-10-26,2022-03-01,NIVEDITHA PARVATHA,2021-10-29,DSR case,2021-10-27,1,1,A1LA8YY2LQZ6V0,A1LA8YY2LQZ6V0NIVEDITHA PARVATHA,
195,2022-12-30,1314862,49783570512.0,Meigasoft,ES,Technical Onboarding Request - New Seller,Completed,2022-04-28,2022-10-14,INDRA TATIKONDA,2022-05-06,DSR_Integrator,2022-05-06,1,1,A2YBZLGZH3LXA2,A2YBZLGZH3LXA2INDRA TATIKONDA,
196,2022-12-30,1341499,290035432912.0,Qazqa,UK,Technical Onboarding Request - New Seller,Completed,2022-07-29,2022-12-06,PREMALATHA MADDIRALA,2022-07-22,DSR,2022-07-19,1,1,A26PQBQSQFP6QP,A26PQBQSQFP6QPPREMALATHA MADDIRALA,
197,2022-12-30,1311058,7994133512.0,Koberger GmbH,DE,Technical Onboarding Request - New Seller,Completed,2022-04-14,2022-06-07,DILIP CHAVALI,2022-04-26,DSR,2022-04-15,1,1,A3AIPONVKAGDQP,A3AIPONVKAGDQPDILIP CHAVALI,DILIP CHAVALI
200,2022-12-30,1324310,296654201212.0,WAYS DS,NL,Technical Onboarding Request - New Seller,Completed,2022-05-30,2022-12-09,PREMALATHA MADDIRALA,2022-06-09,DSR,2022-05-31,1,1,A2RSB43CG4CFFM,A2RSB43CG4CFFMPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
201,2022-12-30,1089696,105692500012.0,"Quirumed, S.L.",ES,Technical Onboarding Request - New Seller,Completed,2021-04-26,2022-05-27,YASHWANT KOMATI,2022-04-03,DSR,2022-04-03,1,1,A2L49JVDMUIYZY,A2L49JVDMUIYZYYASHWANT KOMATI,
202,2022-12-30,1353759,52864047312.0,Hedef ETicaret,TR,Technical Onboarding Request - Reintegration,Completed,2022-09-08,2022-12-06,RAJARSHI CHATTERJEE,2022-09-20,TR Unmanaged_Developers,2022-09-13,1,1,AH5L8ZS34REFB,AH5L8ZS34REFBRAJARSHI CHATTERJEE,
203,2022-12-30,1335970,26198757012.0,DIA,ES,Technical Onboarding Request - New Seller,Completed,2022-07-08,2022-10-20,PREMALATHA MADDIRALA,2022-07-05,F3_ES,2022-07-11,1,1,A15CLDME19KZL3,A15CLDME19KZL3PREMALATHA MADDIRALA,PREMALATHA MADDIRALA
204,2022-12-30,1334056,311165527812.0,noidìnotte,IT,Technical Onboarding Request - New Seller,Completed,2022-07-01,2022-08-16,LAKSHMI PRATYUSHA VELAMAKANNI,2022-07-05,DSR,2022-07-05,1,1,AU9QYL07T0TSI,AU9QYL07T0TSILAKSHMI PRATYUSHA VELAMAKANNI,
205,2022-12-30,1336895,34355485612.0,PMAnalytics,UK,Technical Onboarding Request - New Seller,Completed,2022-07-12,2022-08-29,PRAKASH JHA,2022-07-12,3pd_integrator_CID:A3RLLSDGZ1APHK,2022-09-15,1,1,A35XZ2GZDVE9T9,A35XZ2GZDVE9T9PRAKASH JHA,
207,2022-12-30,1116004,14524636322.0,Anchanto Australia Branch,AU,Technical Onboarding Request - New Seller,Completed,2021-09-15,2022-04-12,PRAKASH JHA,2021-09-15,DSR_Integrator_SG,2021-09-14,2,1,AT4MDN2GW9V15,AT4MDN2GW9V15PRAKASH JHA,PRAKASH JHA
